,speed,course,rot,collection_type,PC1,Pc2
5256,7.3,50.4,16.0,1,-0.4468918997645282,-1.8532377475018065
5257,7.3,52.1,7.0,1,-0.2879987780190725,-1.838050131665382
5317,7.8,58.2,10.0,1,-0.3429926415910487,-1.6407531894817002
10185,5.6,64.3,11.0,1,-0.3543556541425635,-2.24847077604272
10186,5.6,62.1,-5.0,1,-0.0714922656896542,-2.2631565562782714
10187,5.6,49.3,-12.0,1,0.0531370835396115,-2.364073516009284
10188,5.6,60.5,-5.0,1,-0.0713737789441599,-2.275928432891132
10189,5.6,47.4,-4.0,1,-0.0880724480390412,-2.38067789454062
10210,6.1,57.0,-128.0,2,5.807427134982823,-2.11738357249439
10211,6.1,53.3,-4.0,1,-0.0900451627969829,-2.18443827128846
10212,6.1,62.0,-5.0,1,-0.0730206551519922,-2.114811470324336
10213,6.1,54.8,-9.0,1,-0.0018123475028041,-2.171566027555424
10214,6.1,58.8,-9.0,1,-0.0021085643665399,-2.139636336023274
10252,6.6,50.8,-14.0,1,0.0852919710950797,-2.053453781436857
10253,6.6,46.7,-12.0,1,0.050258034733177,-2.0865411590207024
10254,6.6,47.0,7.0,1,-0.2854709886803055,-2.087561147908009
10255,6.6,50.6,6.0,1,-0.2680688045340518,-2.058644703647378
10256,6.6,50.1,-7.0,1,-0.0383376462190779,-2.060299530626853
10257,6.6,57.2,14.0,1,-0.409907796948143,-2.007398487672894
10258,6.6,42.9,8.0,1,-0.3028361457185924,-2.1204688036101587
10259,6.6,52.8,13.0,1,-0.3919131790744179,-2.042341426476564
10358,7.1,55.1,-14.0,1,0.0834377430826324,-1.8699860347975563
10359,7.1,49.8,11.0,1,-0.3578892526633155,-1.9167859231200464
10360,7.1,57.1,15.0,1,-0.7205669017985976,-1.9715576022469183
10361,7.1,47.5,11.0,1,-0.3577189279666676,-1.935145495751033
10362,7.1,56.3,10.0,1,-0.3407018257432702,-1.8647204524986067
10363,7.1,55.8,-13.0,1,0.0657171258078627,-1.8645780606611253
10364,7.1,54.0,-128.0,2,5.804577707862762,-1.8430441846590244
10365,7.1,51.5,17.0,1,-0.4640278207720988,-1.9042941355090568
10366,7.1,52.8,-8.0,1,-0.022404608162415,-1.8894239387187164
10367,7.1,54.2,1.0,1,-0.1815272979772657,-1.8798660436177248
10368,7.1,50.2,-7.0,1,-0.0398808465246026,-1.9103579600963096
10369,7.1,57.8,-7.0,1,-0.0404436585657005,-1.849691546185224
10370,7.1,48.9,-10.0,1,0.0132217619269591,-1.920195944199172
10371,7.1,54.0,-128.0,2,5.804577707862762,-1.8430441846590244
10372,7.1,52.7,18.0,1,-0.4817854651548354,-1.894894949931108
10373,7.1,49.3,5.0,1,-0.2518395496136531,-1.9196988032713915
10374,7.1,51.0,-128.0,2,5.804799870510563,-1.8669914533081369
10449,7.6,52.5,-15.0,1,0.0997632684837451,-1.7414172841695184
10450,7.6,50.6,16.0,1,-0.4478281875380738,-1.7621552659798556
10451,7.6,53.5,-16.0,1,0.1173579935914271,-1.7332551394047857
10452,7.6,51.2,8.0,1,-0.3065223854787067,-1.7559280371964678
10453,7.6,50.6,16.0,1,-0.4478281875380738,-1.7621552659798556
15480,5.4,54.1,18.0,1,-0.4766674384517762,-2.390806873918468
15481,5.4,57.8,9.0,1,-0.3179224251381886,-2.3596544123159684
15486,5.9,50.2,-6.0,1,-0.0538637181267832,-2.26848166975938
15505,6.4,57.7,-8.0,1,-0.0206173609829873,-2.059110726130967
15506,6.4,53.9,8.0,1,-0.303036424140293,-2.09231948319364
15507,6.4,56.0,-11.0,1,0.0325148691549481,-2.072141679387044
15508,6.4,57.2,6.0,1,-0.2679432444056432,-2.065618043916225
15509,6.4,60.0,6.0,1,-0.2681505962102582,-2.04326725984372
15510,6.4,50.1,-9.0,1,-0.0023857696182735,-2.119597418160357
15511,6.4,53.9,18.0,1,-0.4797242173764522,-2.0941167020105973
15512,6.4,53.9,8.0,1,-0.303036424140293,-2.09231948319364
15513,6.4,53.7,15.0,1,-0.4267030685624177,-2.095174020942117
15514,6.4,49.1,5.0,1,-0.2496746259329624,-2.1300959473871344
15570,6.9,60.1,-4.0,1,-0.0930060032796238,-1.89152847049622
15571,6.9,65.0,-128.0,2,5.80437742944106,-1.814894864242506
15572,6.9,55.6,5.0,1,-0.2516917732204644,-1.92906687040515
15573,6.9,39.4,13.0,1,-0.3918423295112619,-2.059819896163925
15574,6.9,56.6,6.0,1,-0.2694346067600142,-1.921264169403808
15575,6.9,53.4,8.0,1,-0.3045351919162574,-1.94716736639292
15576,6.9,45.1,8.0,1,-0.3039205419240058,-2.013421476322132
15577,6.9,49.9,8.0,1,-0.3042760021604888,-1.975105846483552
15578,6.9,47.2,11.0,1,-0.3570823937483148,-1.9971975539128404
15579,6.9,59.1,-13.0,1,0.0660870648488533,-1.897893396443997
15580,6.9,66.3,11.0,1,-0.358496829272653,-1.8447332768468216
